Año,PAÍS,Jugador,Goles,Equipo
1948, Argentina,Alfredo Castillo,31,Millonarios
1949,Pedro Cabillón,42,,
1950,Paraguay,Casimiro Ávalos,27,Deportivo Pereira
1951, Argentina,Alfredo Di Stéfano,31,Millonarios
1952,Alfredo Di Stéfano,19,Millonarios,
1953,Mario Garelli,20,Deportes Quindío,
1954,Carlos Alberto Gambina,21,Atlético Nacional,
1955,Felipe Marino,22,Independiente Medellín,
1956, Colombia,Jaime Gutiérrez,21,Deportes Quindío
1957, Argentina,José Vicente Grecco,30,Independiente Medellín
1958, Argentina,José Américo Montanini,36,Atlético Bucaramanga
1959, Argentina,Felipe Marino,35,Independiente Medellín
,,,,Cúcuta Deportivo
1960, Argentina,Wálter Marcolini,30,Deportivo Cali
1961, Argentina,Alberto Perazzo,32,Santa Fe
1962,Uruguay,José Omar Verdún,36,Cúcuta Deportivo
1963,Uruguay,José Omar Verdún,36,Cúcuta Deportivo
, Argentina,Omar Lorenzo Devanni,,Atlético Bucaramanga
1964, Argentina,Omar Lorenzo Devanni,28,Unión Magdalena
,,,,Atlético Bucaramanga
1965, Argentina,Perfecto Rodríguez,38,Independiente Medellín
1966, Argentina,Omar Lorenzo Devanni,31,Santa Fe
1967, Argentina,José María Ferrero,38,Millonarios
1968, Argentina,José María Ferrero,32,Millonarios
1969, Argentina,Hugo Horacio Lóndero,24,América de Cali
1970, Argentina,José María Ferrero,27,Cúcuta Deportivo
,Uruguay,Walter Sossa,,Santa Fe
1971, Argentina,Hugo Horacio Lóndero,27,Cúcuta Deportivo
,Paraguay,Apolinar Paniagua,,Deportivo Pereira
1972, Argentina,Hugo Horacio Lóndero,30,Cúcuta Deportivo
1973,Uruguay,Nelson Silva Pacheco,36,Cúcuta Deportivo
,,,,Junior
1974, Brasil,Víctor Ephanor,33,Junior
1975, Argentina,Jorge Ramón Cáceres,35,Deportivo Pereira
1976, Argentina,Miguel Ángel Converti,33,Millonarios
1977, Argentina,Oswaldo Marcial Palavecino,30,Atlético Nacional
1978, Argentina,Oswaldo Marcial Palavecino,36,Atlético Nacional
1979, Argentina,Juan Jose Irigoyen,33,Millonarios
1980, Argentina,Sergio Cierra,26,Deportivo Pereira
1981, Argentina,Víctor Hugo del Río,29,Deportes Tolima
1982, Argentina,Miguel Oswaldo González,27,Atlético Bucaramanga
1983, Argentina,Hugo Gottardi,29,Santa Fe
1984, Argentina,Hugo Gottardi,23,Santa Fe
1985, Argentina,Miguel Oswaldo González,33,Atlético Bucaramanga
1986, Argentina,Héctor Sosa,23,Independiente Medellín
1987, Chile,Jorge Aravena,23,Deportivo Cali
1988, Colombia,Sergio Angulo,29,Santa Fe
1989(*),Uruguay,Héctor Méndez,17,Deportivo Pereira
1990, Colombia,Antony de Ávila,25,América de Cali
1991, Colombia,Iván René Valenciano,30,Junior
1992, Colombia,John Jairo Tréllez,25,Atlético Nacional
1993, Colombia,Niche Guerrero,34,Junior
1994, Colombia,Rubén Darío Hernández,32,Independiente Medellín
,,,,Deportivo Pereira
,,,,América de Cali
Torneo semestral,,,,
1995, Colombia,Iván René Valenciano,24,Junior
Torneos anuales,,,,
1995/96, Colombia,Iván René Valenciano,36,Junior
1996/97, Colombia,Hamilton Ricard,36,Deportivo Cali
1998, Colombia,Víctor Bonilla,37,Deportivo Cali
1999, Argentina,Sergio Galván,26,Once Caldas
2000, Colombia,Carlos Castro,24,Millonarios
2001, Colombia,Carlos Castro,29,Millonarios
,,Jorge Serna,,Independiente Medellín
Torneos semestrales,,,,
2002-I, Colombia,Luis Zuleta,13,Unión Magdalena
2002-II, Colombia,Orlando Ballesteros,13,Atlético Bucaramanga
,,Milton Rodríguez,,Deportivo Pereira
2003-I, Colombia,Arnulfo Valentierra,13,Once Caldas
2003-II, Colombia,Léider Preciado,17,Deportivo Cali
2004-I, Colombia,Sergio Herrera,13,América de Cali
2004-II, Colombia,Leonardo Fabio Moreno,15,América de Cali
,,Léider Preciado,,Santa Fe
2005-I, Colombia,Víctor Hugo Aristizábal,16,Atlético Nacional
2005-II, Colombia,Jámerson Rentería,12,Real Cartagena
,,Hugo Rodallega,,Deportivo Cali
2006-I, Colombia,Jorge Díaz,15,Cúcuta Deportivo
2006-II, Colombia,Diego Álvarez,11,Independiente Medellín
,,John Charria,,Deportes Tolima
2007-I, Colombia,Freddy Montero,13,Atlético Huila
, Argentina,Sergio Galván1​,,Atlético Nacional
2007-II, Colombia,Dayro Moreno,16,Once Caldas
2008-I, Argentina,Miguel Caneo,13,Boyacá Chicó
, Colombia,Iván Velásquez,,Deportes Quindío
2008-II, Colombia,Freddy Montero,16,Deportivo Cali
2009-I, Colombia,Teófilo Gutiérrez,16,Junior
2009-II, Colombia,Jackson Martínez,18,Independiente Medellín
2010-I, Colombia,Carlos Bacca,12,Junior
, Colombia,Carlos Rentería,,La Equidad
2010-II, Colombia,Wilder Medina,16,Deportes Tolima
, Colombia,Dayro Moreno,,Atlético Nacional
2011-I, Colombia,Carlos Rentería,12,Atlético Nacional
2011-II, Colombia,Carlos Bacca,12,Junior
2012-I,Paraguay,Robin Ramírez,13,Deportes Tolima
2012-II, Argentina,Germán Cano,9,Independiente Medellín
, Colombia,Henry Hernández,,Cúcuta Deportivo
, Colombia,Carmelo Valencia,,La Equidad
2013-I, Colombia,Wilder Medina,12,Santa Fe
2013-II, Colombia,Dayro Moreno,16,Millonarios
, Colombia,Luis Carlos Ruiz,,Junior
2014-I, Colombia,Dayro Moreno,13,Millonarios
2014-II, Argentina,Germán Cano,16,Independiente Medellín
2015-I, Colombia,Fernando Uribe,15,Millonarios
2015-II, Colombia,Jefferson Duque,15,Atlético Nacional
2016-I, Colombia,Miguel Borja,19,Cortuluá
2016-II, Colombia,Ayron del Valle,12,Millonarios
2017-I, Colombia,Dayro Moreno,14,Atlético Nacional
2017-II, Colombia,Ayron del Valle,11,Millonarios
, Colombia,Yimmi Chará,,Junior
, Colombia,Dayro Moreno,,Atlético Nacional
, Colombia,Carmelo Valencia,,La Equidad
2018-I, Argentina,Germán Cano,12,Independiente Medellín
2018-II, Argentina,Germán Cano,20,Independiente Medellín
2019-I, Argentina,Germán Cano,21,Independiente Medellín
2019-II, Argentina,German Cano,13,Independiente Medellín
, Colombia,Michael Rangel,,America de Cali
Torneo anual,,,,
2020(**), Colombia,Miguel Borja,14,Junior
Torneo semestral,,,,
2021-I, Colombia,Jefferson Duque,11,Atlético Nacional
, Colombia,Fernando Uribe,,Millonarios
, Colombia,Diego Herazo,,La Equidad
2021-II, Colombia,Harold Preciado,13,Deportivo Cali
2022-I, Colombia,Dayro Moreno,13,Atlético Bucaramanga
2022-II, Colombia,Leonardo Fabio Castro,15,Deportivo Pereira
2023-I, Colombia,Marco Pérez,13,Águilas Doradas
2023-II, Colombia,Carlos Bacca,18,Junior
